# Ticks    Inner-Iterations Outer-Iterations      Run-Time [1 ms]
1001               200            150              30.03
1011               200            150              30.33
1070               199            150              31.9395
1140               198            149              33.63228
1196               198            148              35.047584
1276               196            147              36.764112
1387               195            146              39.48789
1542               192            144              42.633216
1760               189            142              47.23488
2065               185            139              53.101475
2492               179            134              59.773112
3090               171            128              67.63392
3926               160            120              75.3792
5098               146            110              81.87388
6738               129            97              84.312594
9033               108            81              79.020684
10000               100            75              75.0
12248               90            77              84.87864
16748               71            80              95.12864
23047               52            83              99.470852
31867               33            89              93.593379
44215               18            98              77.99526
61502               8            112              55.105792
85703               3            135              34.709715
100000               1            150              15.0
119585               1            148              17.69858
167020               1            141              23.54982
233429               1            131              30.579199
326401               1            120              39.16812
456562               1            105              47.93901
638787               1            87              55.574469
893903               1            67              59.891501
1000000               1            61              61.0
1251065               1            60              75.0639
1751092               1            60              105.06552
2451130               1            59              144.61667
3431183               1            58              199.008614
4803257               1            56              268.982392
6724160               1            54              363.10464
9413425               1            51              480.084675
10000000               1            50              500.0
13178396               1            48              632.563008
18449355               1            43              793.322265
25828697               1            38              981.490486
36159777               1            32              1157.112864
50623289               1            25              1265.582225
60000000               1            21              1260.0
70000000               1            18              1260.0
80000000               1            15              1200.0
90000000               1            12              1080.0
95000000               1            11              1045.0
100000000               1            10              1000.0
138908563               1            10              1389.08563
194471590               1            10              1944.7159
